,base,multitask,hierarchical - id,hierarchical - str,hierarchical - hvar,hierarchical - svar,hierarchical - cov,hierarchical - kcov
None,1593.4243531784236,1163.65109493507,17235.620963283272,30050.904752973165,48084.20114331286,15433.662634797412,40041.02182976758,45656.82689631908
 ,,,,,,,,
id,1618.176324058597,63268.51764667493,35058.5026802372,41632.76746740153,59695.39354198428,31150.30431802738,44805.84644287109,58603.605818378746
str,1527.7967660267902,36261.545804274676,30004.111227358237,34376.76517737025,56366.23326925298,29534.50489973063,43191.21282610712,57167.28428764481
hvar,1515.2006742622993,32172.478872025848,37533.155376975825,35414.54116623636,60900.60643064732,37387.254869439486,44447.81716150736,61927.819747864494
svar,1522.5399578656534,28099.450681566177,38845.74901968468,36546.088643605915,58648.838122290515,32941.87265833685,43187.94284945389,56441.86360567717
cov,1468.1554897927372,39738.07778883329,33971.278210499724,34687.85860704458,57509.766388336466,34243.041862059385,44415.16074313872,56090.32594449408
kcov,1519.5717537063447,33620.94414220998,35142.039812549185,34663.84228103248,58138.98491792558,35628.07984880618,43715.56098692353,58541.17579646361
