,base,multitask,hierarchical - id,hierarchical - str,hierarchical - hvar,hierarchical - svar,hierarchical - cov,hierarchical - kcov
None,1692.4042622353595,1485.4407917781411,13345.398364030116,40765.06644311133,19392.23781340444,15760.62614229517,19568.889366609517,18686.02652032144
 ,,,,,,,,
id,1845.5065296305852,77493.6845556704,58162.91176458411,226387.82301965993,74842.86552463452,65258.836569391635,75564.74348247307,70664.95936910211
str,1644.0823696636319,44889.564829978015,43146.459874035914,68911.9480645277,49391.69515562914,48094.443927331,49799.83604591122,46746.89381577009
hvar,1636.7520411203452,77493.76776997586,71647.61333705919,86894.01267786103,76971.0201748231,74360.14351668491,75578.2566740753,74166.3214252287
svar,1622.2963861515716,25704.887783752154,35981.76074817869,45219.206448649216,39142.49852458396,37599.3798997265,39228.61166093335,38494.95826522957
cov,2024.2444726162273,77493.76776997517,6701103.199504226,1440269.377038697,30176580.788329683,1321333089.60813,671071.3430155247,9569991289.970577
kcov,2119.1474267065796,77493.76776997517,71638.86855804591,86885.66725995463,76964.33094808392,74350.83303960125,75569.60515062675,74157.84366992579
