,base,multitask,hierarchical - id,hierarchical - str,hierarchical - hvar,hierarchical - svar,hierarchical - cov,hierarchical - kcov
None,615.1120365063767,1178.7764796584029,1231.3505535796933,1284.720760885248,1285.2927217965662,1187.9939466062026,1716.5744462485768,1663.312278593264
 ,,,,,,,,
id,834.5504469931551,1179.1529757041858,1232.6509979844918,1277.2358217221122,1288.3070442556607,1190.0385309720762,1720.5221036284777,1663.779225260872
str,616.5201962053995,1178.9132050216926,1231.553472386249,1283.2595536483827,1285.1844587119547,1188.010763088249,1720.879833200151,1664.38694630088
hvar,636.3986969567047,1180.0633761671832,1229.7860247881363,1279.2265680472008,1287.8074077252236,1190.6195494126966,1726.732473540046,1663.439684486096
svar,611.471821783712,1178.8577752493802,1231.2820137424787,1283.5363064502253,1285.1390595424923,1188.059732305635,1718.3241396655353,1663.1638820801388
cov,577.0541546028168,1180.3340713752884,1234.6098311275866,1285.6809562681503,1290.0648237282471,1194.6564978043755,1654.3774999232148,1677.3171520838605
kcov,636.3986975176325,1180.0633761509634,1229.7860249567234,1279.2265685696198,1287.807407681479,1190.6195495741545,1726.7324740032068,1663.898002092091
