,base,multitask,OLS,STR,hVAR,sVAR,COV,kCOV
None,391.06836437564135,76025.73585689178,25668.089246299507,19523.74732837946,48811.60676302751,27199.59712549655,49092.86531143334,47640.06349026457
OLS,7.160970909095635e-18,7.115503260397986e-18,2.615950571891546e-18,8.736210860162507e-25,2.4786019848215044e-18,1.1709338154689789e-16,2.480082852279777e-18,2.2500865270486127e-18
STR,7.156971809589776e-18,6.6161271703042516e-18,4.6804270766582834e-18,2.2173253278098807e-24,4.016860803068197e-18,1.9549369449139364e-16,4.0060507194257284e-18,3.7780639868156974e-18
hVAR,7.156751698856493e-18,7.11556718953052e-18,3.0666668365583103e-18,2.2521729337270307e-24,2.61462243553448e-18,1.1760412110366174e-16,2.549793390446578e-18,2.491698743780192e-18
sVAR,7.157847214209476e-18,4.77010510036758e-18,4.107649323255284e-18,2.083332505072062e-24,3.530867471916815e-18,1.7403249563778027e-16,3.508944428224434e-18,3.355813298982943e-18
COV,7.082798119254072e-18,7.115567103194094e-18,1.5740414373335088e-17,1.0002450963227396e-23,3.456163234659959e-17,3.9103195437975244e-14,1.6233098964521427e-18,3.752920483888771e-14
kCOV,7.081818418111277e-18,7.115567103194094e-18,3.0686898478169566e-18,2.2516278702240712e-24,2.614839335728156e-18,1.175710340116426e-16,2.549654920786225e-18,2.491344788356805e-18
