,base,multitask,OLS,STR,hVAR,sVAR,COV,kCOV
None,244.822821594186,0.15575064527962232,4.363983465941803,0.31833180049072196,11.976928404048985,14.397753073985763,65.02010089138116,19.178318980745576
OLS,4.9289165958491814e-20,4.99060359446082e-20,4.9457532687489747e-20,1.0433753866932532e-24,3.438861944865752e-20,1.8665365869478965e-18,2.1103988218750027e-17,1.9808456298092152e-19
STR,4.928573380848003e-20,4.9899391746505904e-20,4.946749965589508e-20,1.0407757275959296e-24,3.437323997853484e-20,1.8661674621616702e-18,2.1124508834630576e-17,1.981618592585953e-19
hVAR,4.916942852522986e-20,4.9900436937404325e-20,4.9477480652306126e-20,1.0425929314365035e-24,3.435253629056967e-20,1.8660009255183535e-18,2.1184167213657963e-17,1.9815290019273297e-19
sVAR,4.9185351975266976e-20,4.990395727616195e-20,4.9493444411479415e-20,1.0379388515171743e-24,3.4371900012804174e-20,1.866373466269176e-18,2.1137634932507622e-17,1.9810063979981271e-19
COV,4.812149474699031e-20,4.989815227068567e-20,4.964824903467478e-20,1.0449854596926706e-24,3.450226073853141e-20,1.8687054716837884e-18,2.1340111323521627e-17,1.983666536791588e-19
kCOV,4.9169480071108823e-20,4.990038389089681e-20,4.9477566645558446e-20,1.0415765707420252e-24,3.435791748668649e-20,1.8660021888791865e-18,2.1184272277872347e-17,1.9817387468943629e-19
