,base,multitask,OLS,STR,hVAR,sVAR,COV,kCOV
None,180.38963690563637,62131.113717628505,10181.380996148653,2126.841588598232,14065.976674397836,10993.502525177239,24160.33641921831,20400.36183997358
OLS,1.1294957206756277e-23,1.0626706774452992e-23,1.7787919018239634e-24,1.374463624698992e-25,2.0673354263750276e-23,2.8794358253923595e-21,2.1356679776660097e-21,3.1035776530904964e-24
STR,1.1262474343761806e-23,6.683149195002611e-24,2.681049109957551e-24,1.5953338183886423e-25,2.1709407293105626e-23,5.019329128072752e-21,2.3125269834855147e-21,3.2808225537568234e-24
hVAR,1.1229625788410314e-23,1.6000535952795288e-24,1.7459348922011555e-24,1.6095342772637566e-25,2.0463568416181004e-23,1.0919036666216197e-21,1.8591359985431646e-21,3.003031277445117e-24
sVAR,1.1236757635030362e-23,1.76071474766244e-24,1.676267047505771e-24,1.4546267723148516e-25,1.999231330984314e-23,1.2455514223057683e-21,2.2408326575866907e-21,2.9372922914041722e-24
COV,1.1184114456446585e-23,1.3305091417949263e-24,1.5035420896063565e-24,1.4752194408008803e-25,2.0146644133504122e-23,7.003980771319109e-22,1.380768272016664e-21,2.9039583617130436e-24
kCOV,1.1232303580266199e-23,1.4833956252692262e-24,1.655933801819906e-24,1.5467402019763046e-25,2.0308742535179554e-23,9.318907919342008e-22,1.856939265022758e-21,2.9653170923136142e-24
